	0
329	kidney,blood,blood,blood
330	yeast cells,kidney,bacterial cells,bacterial cells,lung
331	kidney,cultured cells,bacterial cells
332	kidney,lung,feces,feces
333	yeast cells,kidney,bacterial cells,bacterial cells,lung,b cells
334	yeast cells,bacterial cells,bacterial cells
335	yeast cells,bacterial cells,bacterial cells,b cells
336	yeast cells,liver,bacterial cells,bacterial cells,feces,feces
337	yeast cells,bacterial cells,bacterial cells
338	yeast cells,bacterial cells,bacterial cells
339	urine,yeast cells,cultured cells,cultured cells,cultured cells,liver,bacterial cells,bacterial cells,bacterial cells,blood,blood,blood,blood,lung,lung,b cells
340	cultured cells,cultured cells,bacterial cells,blood
341	macrophages,liver,brain,blood,blood,plant,feces
342	liver,blood,blood,blood,blood,plant
343	brain,blood,blood,blood,blood,plant
344	macrophages,brain,blood,plant,feces
345	brain,whole insect,plant
346	heart tissue,muscle,liver,brain,blood,blood,blood,blood,blood,blood,blood,plant
347	cultured cells,cultured cells,cerebrospinal fluid
348	cultured cells,cultured cells,cerebrospinal fluid
349	liver,b cells,cerebrospinal fluid,feces
350	macrophages,blood,feces
351	mononuclear cells,hek cells,blood
352	heart tissue,muscle,brain,blood,blood,blood,blood,whole insect
353	blood,blood,blood
354	cultured cells,feces,feces
355	yeast cells,cultured cells,bacterial cells
356	yeast cells,cultured cells,cultured cells,liver,bacterial cells,bacterial cells,blood,blood,blood,lung,lung,b cells
357	algae,cultured cells,cultured cells,bacterial cells,feces
358	cultured cells,lung,b cells,feces
359	cultured cells,cultured cells,liver
360	algae,cultured cells,cultured cells,feces
361	algae,cultured cells,lung,b cells
362	cultured cells,adipose tissue,blood,feces
363	yeast cells,cultured cells,bacterial cells
364	yeast cells,cultured cells,cultured cells,bacterial cells
365	heart tissue,heart tissue,macrophages,muscle,liver,brain,blood,blood,blood,blood,blood,blood,blood,blood
366	heart tissue,muscle,liver,brain,blood,blood,blood,blood,blood,blood,blood
367	macrophages,muscle,brain,blood,blood,blood
368	muscle,brain,blood
369	macrophages,brain,whole insect
370	liver,brain,blood
371	macrophages,blood,whole insect
372	macrophages,whole insect,feces
373	blood,blood,whole insect
374	heart tissue,muscle,blood,blood,whole insect
375	blood,blood,blood,whole insect
376	intestine,adipose tissue,blood,lung
377	adipose tissue,blood,feces,feces
378	yeast cells,bacterial cells,feces
379	intestine,blood,blood,lung,feces,feces
380	intestine,urine,feces,feces
381	urine,feces,feces
382	algae,feces,feces
383	intestine,lung,feces,feces
384	intestine,blood,blood,blood,lung,lung,feces,feces
385	yeast cells,bacterial cells,feces,feces
386	intestine,blood,blood,feces
387	heart tissue,macrophages,muscle,blood,blood
388	heart tissue,macrophages,muscle,blood
389	heart tissue,macrophages,muscle
390	algae,yeast cells,cultured cells,liver,bacterial cells,bacterial cells,lung,b cells
391	intestine,cultured cells,blood,blood
392	urine,cultured cells,blood,blood
393	cultured cells,blood,blood
394	yeast cells,cultured cells,bacterial cells
395	yeast cells,cultured cells,bacterial cells
396	urine,algae,blood,lung
397	urine,bacterial cells,lung,b cells
398	urine,blood,blood
399	intestine,blood,blood,b cells
400	intestine,liver,blood,blood,b cells
401	intestine,blood,blood,lung
402	bacterial cells,blood,blood
403	yeast cells,bacterial cells,blood
404	blood,blood,blood,blood
405	yeast cells,bacterial cells,blood,blood,blood,b cells
406	blood,blood,lung
407	liver,blood,blood
408	intestine,blood,blood,lung
409	blood,blood,blood
410	yeast cells,bacterial cells,blood,lung
411	yeast cells,bacterial cells,blood
412	bacterial cells,lung,lung,b cells
413	yeast cells,bacterial cells,lung
414	algae,blood,blood
415	yeast cells,bacterial cells,bacterial cells
416	yeast cells,bacterial cells,blood,b cells
417	yeast cells,liver,bacterial cells
418	heart tissue,liver,blood,blood,blood,blood,blood
419	heart tissue,blood,blood,blood,blood
420	muscle,liver,blood,blood,blood,blood,blood,blood,blood
421	heart tissue,blood,blood,blood,blood
422	blood,blood,blood
423	heart tissue,muscle,liver,blood,blood,blood
424	heart tissue,muscle,blood,blood
425	heart tissue,muscle,liver,blood,blood,blood,blood,blood,blood
426	heart tissue,muscle,blood,blood
427	heart tissue,blood,blood
428	heart tissue,muscle,liver,blood,blood,blood,blood
429	liver,blood,blood,blood,blood
430	muscle,blood,blood
431	liver,blood,blood
432	muscle,liver,blood,blood,blood
433	liver,blood,blood
434	muscle,liver,blood,blood,blood,blood
435	heart tissue,heart tissue,liver,blood
436	liver,blood,blood,blood,blood,blood
437	blood,blood,blood
438	heart tissue,liver,blood
439	muscle,liver,blood
440	blood,blood,blood
441	muscle,blood,blood
442	muscle,liver,blood,blood
443	liver,blood,blood,blood
444	blood,blood,blood,blood
445	blood,blood,blood
446	blood,blood,blood,blood
447	muscle,blood,blood,blood,blood,blood
448	blood,blood,blood,blood
449	heart tissue,blood,blood,blood
450	heart tissue,liver,blood
451	blood,blood,blood
452	muscle,liver,blood,blood,blood
453	blood,blood,blood
454	blood,blood,blood
455	blood,blood,blood
456	blood,blood,blood
457	blood,blood,blood,blood
458	muscle,blood,blood
459	muscle,blood,blood,blood
460	muscle,liver,blood
461	heart tissue,muscle,blood
462	heart tissue,blood,blood,blood
463	blood,blood,blood
